Course code,Study period,Academic year,Instance_id,Examiner,Planned number of Students,Senior Hours,Assistant Hours
1204,1.0,2013-2014,I-1,19610918-0027,50,280,300
1082,3.0,2013-2014,I-2,19620522-0023,20,240,240
1190,4.0,2013-2014,I-3,19560705-0025,20,240,300
1009,3.0,2013-2014,I-4,19600529-0021,50,280,420
1264,4.0,2013-2014,I-5,19570828-0008,60,280,300
1161,2.0,2013-2014,I-6,19630126-0001,20,280,300
1076,4.0,2013-2014,I-7,19660630-0020,50,260,420
1055,3.0,2013-2014,I-8,19601021-0018,50,240,420
1048,3.0,2013-2014,I-9,19690408-0009,60,280,300
1007,4.0,2013-2014,I-10,19590129-0004,40,280,300
1124,1.0,2014-2015,I-11,19620831-0024,20,240,360
1019,1.0,2014-2015,I-12,19620424-0026,40,260,280
1193,1.0,2014-2015,I-13,19630126-0001,20,240,300
1108,4.0,2014-2015,I-14,19680712-0028,40,240,420
1063,3.0,2014-2015,I-15,19601021-0018,50,280,300
1050,3.0,2014-2015,I-16,19580218-0007,40,280,360
1256,3.0,2014-2015,I-17,19660630-0020,50,260,300
1240,4.0,2014-2015,I-18,19560612-0010,60,280,420
1159,3.0,2014-2015,I-19,19620424-0026,50,260,300
1107,3.0,2014-2015,I-20,19560705-0025,60,240,360
1068,3.0,2014-2015,I-21,19560612-0010,20,240,200
1048,1.0,2014-2015,I-22,19690917-0022,20,240,240
1256,4.0,2015-2016,I-23,19650303-0019,20,260,200
1251,2.0,2015-2016,I-24,19690408-0009,40,240,360
1269,2.0,2015-2016,I-25,19570828-0008,60,260,240
1200,1.0,2015-2016,I-26,19650303-0019,60,280,200
1290,4.0,2015-2016,I-27,19620424-0026,60,260,420
1197,3.0,2015-2016,I-28,19690408-0009,60,240,240
1147,3.0,2015-2016,I-29,19600905-0003,20,260,420
1123,3.0,2015-2016,I-30,19680712-0028,20,260,240
1052,3.0,2015-2016,I-31,19690917-0022,50,280,240
1186,3.0,2016-2017,I-32,19600814-0002,40,240,420
1102,4.0,2016-2017,I-33,19570828-0008,60,260,240
1227,1.0,2016-2017,I-34,19620522-0023,20,240,200
1089,2.0,2016-2017,I-35,19640220-0029,50,240,240
1084,4.0,2016-2017,I-36,19650303-0019,20,240,300
1021,1.0,2016-2017,I-37,19570828-0008,20,260,420
1252,4.0,2016-2017,I-38,19650303-0019,60,240,300
1172,3.0,2016-2017,I-39,19570826-0012,60,260,300
1158,3.0,2016-2017,I-40,19620831-0024,20,280,280
1091,4.0,2016-2017,I-41,19640220-0029,60,280,200
1045,1.0,2016-2017,I-42,19600814-0002,50,260,240
1272,3.0,2017-2018,I-43,19600905-0003,20,280,420
1248,3.0,2017-2018,I-44,19610620-0006,50,260,240
1232,3.0,2017-2018,I-45,19560612-0010,40,240,280
1006,1.0,2017-2018,I-46,19611219-0014,60,240,300
1241,3.0,2017-2018,I-47,19561222-0030,50,260,420
1215,2.0,2017-2018,I-48,19690408-0009,20,240,280
1090,2.0,2017-2018,I-49,19601021-0018,20,260,360
1085,1.0,2017-2018,I-50,19580515-0017,40,280,200
