RegistrationID,Course Instance,Student id,Status,Grade
1,I-1494,19860309-0002,completed,3.0
2,I-3997,19860309-0002,completed,4.0
3,I-658,19860309-0002,completed,3.0
4,I-1499,19860309-0002,completed,4.0
5,I-1496,19860309-0002,completed,4.0
6,I-433,19860309-0002,completed,3.0
7,I-1500,19860309-0002,completed,4.0
8,I-1289,19860309-0002,completed,4.0
9,I-1074,19860309-0002,completed,4.0
10,I-1607,19860309-0002,completed,3.0
11,I-871,19860309-0002,completed,3.0
12,I-1608,19860309-0002,completed,5.0
13,I-3697,19860309-0002,completed,5.0
14,I-1922,19850305-0003,completed,5.0
15,I-1199,19850305-0003,completed,5.0
16,I-1924,19850305-0003,completed,3.0
17,I-2658,19850305-0003,completed,3.0
18,I-2037,19850305-0003,completed,5.0
19,I-2038,19850305-0003,completed,5.0
20,I-2040,19850305-0003,completed,3.0
21,I-2041,19850305-0003,completed,4.0
22,I-2039,19850305-0003,completed,5.0
23,I-2044,19850305-0003,completed,5.0
24,I-2993,19850305-0003,completed,4.0
25,I-5074,19850305-0003,completed,5.0
26,I-1204,19850305-0003,completed,3.0
27,I-2042,19850305-0003,completed,3.0
28,I-2156,19850305-0003,completed,3.0
29,I-2157,19850305-0003,completed,5.0
30,I-2159,19850305-0003,completed,4.0
31,I-153,19850305-0003,completed,3.0
32,I-4834,19860211-0004,completed,5.0
33,I-2956,19860211-0004,completed,5.0
34,I-4623,19860211-0004,completed,3.0
35,I-2119,19860211-0004,completed,5.0
36,I-2957,19860211-0004,completed,3.0
37,I-1385,19860211-0004,completed,4.0
38,I-2966,19860211-0004,completed,3.0
39,I-2965,19860211-0004,completed,5.0
40,I-2964,19860211-0004,completed,4.0
41,I-1694,19860211-0004,completed,4.0
42,I-3576,19880122-0005,completed,5.0
43,I-3578,19880122-0005,completed,3.0
44,I-327,19880122-0005,completed,5.0
45,I-3582,19880122-0005,completed,4.0
46,I-4011,19880122-0005,completed,4.0
47,I-342,19880122-0005,completed,3.0
48,I-238,19880122-0005,completed,5.0
49,I-1923,19880122-0005,completed,3.0
50,I-2636,19850603-0006,completed,3.0
51,I-2637,19850603-0006,completed,3.0
52,I-2638,19850603-0006,completed,5.0
53,I-4941,19850603-0006,completed,3.0
54,I-2233,19850603-0006,completed,4.0
55,I-2756,19850603-0006,completed,4.0
56,I-2759,19850603-0006,completed,3.0
57,I-2761,19850603-0006,completed,3.0
58,I-5166,19860222-0007,completed,5.0
59,I-2447,19860222-0007,completed,3.0
60,I-3786,19860222-0007,completed,4.0
61,I-1606,19860222-0007,completed,4.0
62,I-5378,19860222-0007,completed,5.0
63,I-3897,19860222-0007,completed,5.0
64,I-3899,19860222-0007,completed,4.0
65,I-4226,19860222-0007,completed,3.0
66,I-4015,19860222-0007,completed,3.0
67,I-4016,19860222-0007,completed,3.0
68,I-4018,19860222-0007,completed,3.0
69,I-4324,19860222-0007,completed,3.0
70,I-4017,19860222-0007,completed,3.0
71,I-4024,19860222-0007,completed,4.0
72,I-1100,19860222-0007,completed,5.0
73,I-4020,19860222-0007,completed,3.0
74,I-5179,19860222-0007,completed,5.0
75,I-5,19861018-0009,completed,5.0
76,I-3993,19861018-0009,completed,3.0
77,I-5360,19861018-0009,completed,4.0
78,I-5359,19861018-0009,completed,5.0
79,I-535,19860829-0010,completed,5.0
80,I-5255,19860829-0010,completed,4.0
81,I-960,19860829-0010,completed,5.0
82,I-5257,19860829-0010,completed,4.0
83,I-3891,19860829-0010,completed,5.0
84,I-5368,19860829-0010,completed,4.0
85,I-5369,19860829-0010,completed,3.0
86,I-1182,19860829-0010,completed,3.0
87,I-1058,19850527-0011,completed,5.0
88,I-1059,19850527-0011,completed,3.0
89,I-1490,19850527-0011,completed,5.0
90,I-2638,19850527-0011,completed,4.0
91,I-4732,19850527-0011,completed,3.0
92,I-1069,19850527-0011,completed,3.0
93,I-323,19850527-0011,completed,5.0
94,I-1389,19850527-0011,completed,5.0
95,I-1067,19850527-0011,completed,5.0
96,I-4835,19850527-0011,completed,5.0
97,I-1181,19850527-0011,completed,3.0
98,I-865,19850527-0011,completed,5.0
99,I-1183,19850527-0011,completed,4.0
100,I-1185,19850527-0011,completed,3.0
101,I-230,19850527-0011,completed,3.0
102,I-759,19850527-0011,completed,3.0
103,I-545,19850527-0011,completed,3.0
104,I-1188,19850527-0011,completed,3.0
105,I-2756,19891217-0012,completed,4.0
106,I-1495,19891217-0012,completed,3.0
107,I-3077,19891217-0012,completed,3.0
108,I-4633,19891217-0012,completed,4.0
109,I-5277,19891217-0012,completed,4.0
110,I-3175,19891217-0012,completed,5.0
111,I-4964,19891217-0012,completed,3.0
112,I-3179,19891217-0012,completed,4.0
113,I-3288,19891217-0012,completed,3.0
114,I-5396,19891217-0012,completed,5.0
115,I-2253,19891217-0012,completed,5.0
116,I-3291,19891217-0012,completed,4.0
117,I-423,19861017-0014,completed,5.0
118,I-424,19861017-0014,completed,3.0
119,I-427,19861017-0014,completed,4.0
120,I-5488,19861017-0014,completed,4.0
121,I-2654,19861017-0014,completed,3.0
122,I-541,19861017-0014,completed,3.0
123,I-540,19861017-0014,completed,5.0
124,I-542,19861017-0014,completed,5.0
125,I-5150,19870714-0017,completed,5.0
126,I-4730,19870714-0017,completed,5.0
127,I-2638,19870714-0017,completed,4.0
128,I-1065,19870714-0017,completed,5.0
129,I-1394,19870714-0017,completed,5.0
130,I-1284,19870714-0017,completed,3.0
131,I-5059,19870714-0017,completed,5.0
132,I-759,19870714-0017,completed,3.0
133,I-4405,19850426-0018,completed,3.0
134,I-4839,19850426-0018,completed,3.0
135,I-4409,19850426-0018,completed,4.0
136,I-4407,19850426-0018,completed,3.0
137,I-2339,19850426-0018,completed,5.0
138,I-4410,19850426-0018,completed,4.0
139,I-3881,19850426-0018,completed,3.0
140,I-2335,19850426-0018,completed,5.0
141,I-4522,19850426-0018,completed,4.0
142,I-5056,19850426-0018,completed,5.0
143,I-3372,19850426-0018,completed,5.0
144,I-4215,19850426-0018,completed,5.0
145,I-4511,19870816-0019,completed,5.0
146,I-4515,19870816-0019,completed,3.0
147,I-4512,19870816-0019,completed,4.0
148,I-3060,19870816-0019,completed,4.0
149,I-5263,19880404-0020,completed,3.0
150,I-2131,19880404-0020,completed,4.0
151,I-5267,19880404-0020,completed,3.0
152,I-5268,19880404-0020,completed,3.0
153,I-876,19880404-0020,completed,3.0
154,I-3896,19880404-0020,completed,3.0
155,I-5381,19880404-0020,completed,4.0
156,I-5387,19880404-0020,completed,3.0
157,I-543,19891130-0023,completed,5.0
158,I-4629,19891130-0023,completed,5.0
159,I-4630,19891130-0023,completed,4.0
160,I-4631,19891130-0023,completed,5.0
161,I-5069,19891130-0023,completed,3.0
162,I-4748,19891130-0023,completed,5.0
163,I-4753,19891130-0023,completed,4.0
164,I-4747,19891130-0023,completed,5.0
