teachingHoursId,Course Instance,Teacher Id,Assigned Hours,Reported Hours
1,I-1,19620522-0023,240.0,227.0
2,I-1,19790708-0041,100.0,115.0
3,I-1,19930221-0139,140.0,157.0
4,I-2,19690408-0009,280.0,281.0
5,I-2,19750220-0037,100.0,115.0
6,I-2,19921201-0094,100.0,112.0
7,I-3,19570826-0012,240.0,253.0
8,I-3,19790702-0038,140.0,146.0
9,I-4,19690513-0015,240.0,224.0
10,I-4,19750705-0033,140.0,135.0
11,I-5,19610623-0005,260.0,248.0
12,I-5,19780424-0057,140.0,140.0
13,I-5,19920206-0072,100.0,100.0
14,I-6,19640220-0029,240.0,228.0
15,I-6,19790618-0048,120.0,128.0
16,I-6,19910927-0128,140.0,157.0
17,I-7,19630126-0001,240.0,221.0
18,I-7,19790702-0038,140.0,157.0
19,I-7,19910214-0084,120.0,101.0
20,I-8,19620831-0024,240.0,235.0
21,I-8,19760108-0050,100.0,89.0
22,I-8,19931231-0099,100.0,107.0
23,I-9,19570826-0012,260.0,246.0
24,I-9,19760524-0046,120.0,116.0
25,I-10,19600814-0002,240.0,252.0
26,I-10,19780424-0057,100.0,84.0
27,I-10,19911116-0069,140.0,157.0
28,I-11,19620522-0023,260.0,241.0
29,I-11,19750220-0037,140.0,140.0
30,I-11,19930709-0100,140.0,141.0
31,I-12,19640220-0029,280.0,265.0
32,I-12,19790708-0041,100.0,109.0
33,I-13,19570615-0011,240.0,255.0
34,I-13,19771013-0040,140.0,146.0
35,I-14,19620831-0024,260.0,272.0
36,I-14,19750417-0051,120.0,136.0
37,I-15,19590129-0004,260.0,251.0
38,I-15,19750906-0032,120.0,113.0
39,I-16,19620831-0024,240.0,254.0
40,I-16,19780317-0052,100.0,103.0
41,I-17,19610620-0006,240.0,225.0
42,I-17,19790717-0045,140.0,123.0
43,I-18,19590129-0004,260.0,276.0
44,I-18,19781130-0054,120.0,117.0
45,I-18,19920206-0072,140.0,136.0
46,I-19,19561222-0030,240.0,239.0
47,I-19,19780602-0035,100.0,108.0
48,I-19,19900211-0140,120.0,104.0
49,I-20,19640414-0013,280.0,265.0
50,I-20,19781217-0053,140.0,143.0
51,I-20,19900902-0114,140.0,123.0
52,I-21,19620424-0026,280.0,268.0
53,I-21,19780317-0052,100.0,110.0
54,I-21,19931231-0099,140.0,121.0
55,I-22,19601021-0018,260.0,255.0
56,I-22,19750722-0060,140.0,152.0
57,I-22,19920217-0098,120.0,125.0
58,I-23,19680712-0028,260.0,240.0
59,I-23,19760524-0046,100.0,120.0
60,I-24,19610623-0005,280.0,299.0
61,I-24,19750122-0056,100.0,109.0
62,I-24,19921127-0120,140.0,144.0
63,I-25,19560812-0016,240.0,260.0
64,I-25,19761020-0044,120.0,122.0
65,I-25,19920122-0065,100.0,84.0
66,I-26,19680712-0028,280.0,297.0
67,I-26,19781130-0054,140.0,132.0
68,I-27,19610620-0006,280.0,297.0
69,I-27,19750906-0032,120.0,140.0
70,I-28,19620522-0023,260.0,265.0
71,I-28,19781130-0054,100.0,119.0
72,I-28,19921002-0129,140.0,124.0
73,I-29,19560812-0016,260.0,245.0
74,I-29,19751018-0039,100.0,109.0
75,I-29,19901029-0071,120.0,106.0
76,I-30,19600814-0002,280.0,287.0
77,I-30,19790426-0049,140.0,147.0
78,I-31,19560705-0025,260.0,250.0
79,I-31,19790702-0038,120.0,108.0
80,I-31,19900701-0113,140.0,156.0
81,I-32,19610918-0027,280.0,298.0
82,I-32,19761024-0034,100.0,96.0
83,I-33,19660630-0020,240.0,227.0
84,I-33,19781217-0053,120.0,119.0
85,I-34,19660630-0020,260.0,254.0
86,I-34,19750331-0036,120.0,115.0
87,I-35,19690408-0009,280.0,271.0
88,I-35,19770713-0042,100.0,100.0
89,I-36,19601021-0018,260.0,261.0
90,I-36,19790618-0048,100.0,114.0
91,I-37,19680712-0028,260.0,272.0
92,I-37,19790618-0048,100.0,84.0
93,I-38,19610623-0005,280.0,273.0
94,I-38,19781125-0031,100.0,118.0
95,I-39,19600529-0021,260.0,258.0
96,I-39,19761024-0034,120.0,136.0
97,I-39,19921123-0108,100.0,102.0
98,I-40,19680712-0028,260.0,242.0
99,I-40,19750417-0051,120.0,133.0
100,I-41,19590129-0004,260.0,277.0
